2019-09-03 12:52:20,253 DEBUG Training subset = ['age' 'exang' 'oldpeak'], Timing = 0.008005619049072266, Size (Kb) = 0.0546875
2019-09-03 12:52:20,261 DEBUG Training subset = ['age' 'exang' 'slope'], Timing = 0.007005214691162109, Size (Kb) = 0.0546875
2019-09-03 12:52:20,261 DEBUG Training subset = ['age' 'exang' 'slope'], Timing = 0.007005214691162109, Size (Kb) = 0.0546875
2019-09-03 12:52:20,269 DEBUG Training subset = ['age' 'exang' 'ca'], Timing = 0.007004976272583008, Size (Kb) = 0.0546875
2019-09-03 12:52:20,269 DEBUG Training subset = ['age' 'exang' 'ca'], Timing = 0.007004976272583008, Size (Kb) = 0.0546875
2019-09-03 12:52:20,278 DEBUG Training subset = ['age' 'exang' 'thal'], Timing = 0.007005453109741211, Size (Kb) = 0.0546875
2019-09-03 12:52:20,278 DEBUG Training subset = ['age' 'exang' 'thal'], Timing = 0.007005453109741211, Size (Kb) = 0.0546875
2019-09-03 12:52:20,286 DEBUG Training subset = ['age' 'oldpeak' 'slope'], Timing = 0.008005619049072266, Size (Kb) = 0.0546875
2019-09-03 12:52:20,286 DEBUG Training subset = ['age' 'oldpeak' 'slope'], Timing = 0.008005619049072266, Size (Kb) = 0.0546875
2019-09-03 12:52:20,297 DEBUG Training subset = ['age' 'oldpeak' 'ca'], Timing = 0.00998687744140625, Size (Kb) = 0.0546875
2019-09-03 12:52:20,297 DEBUG Training subset = ['age' 'oldpeak' 'ca'], Timing = 0.00998687744140625, Size (Kb) = 0.0546875
2019-09-03 12:52:20,308 DEBUG Training subset = ['age' 'oldpeak' 'thal'], Timing = 0.008999824523925781, Size (Kb) = 0.0546875
2019-09-03 12:52:20,308 DEBUG Training subset = ['age' 'oldpeak' 'thal'], Timing = 0.008999824523925781, Size (Kb) = 0.0546875
2019-09-03 12:52:20,317 DEBUG Training subset = ['age' 'slope' 'ca'], Timing = 0.007004261016845703, Size (Kb) = 0.0546875
2019-09-03 12:52:20,317 DEBUG Training subset = ['age' 'slope' 'ca'], Timing = 0.007004261016845703, Size (Kb) = 0.0546875
2019-09-03 12:52:20,330 DEBUG Training subset = ['age' 'slope' 'thal'], Timing = 0.011983871459960938, Size (Kb) = 0.0546875
2019-09-03 12:52:20,330 DEBUG Training subset = ['age' 'slope' 'thal'], Timing = 0.011983871459960938, Size (Kb) = 0.0546875
2019-09-03 12:52:20,347 DEBUG Training subset = ['age' 'ca' 'thal'], Timing = 0.01601099967956543, Size (Kb) = 0.0546875
2019-09-03 12:52:20,347 DEBUG Training subset = ['age' 'ca' 'thal'], Timing = 0.01601099967956543, Size (Kb) = 0.0546875
2019-09-03 12:52:20,362 DEBUG Training subset = ['sex' 'cp' 'trestbps'], Timing = 0.014015436172485352, Size (Kb) = 0.0546875
2019-09-03 12:52:20,362 DEBUG Training subset = ['sex' 'cp' 'trestbps'], Timing = 0.014015436172485352, Size (Kb) = 0.0546875
2019-09-03 12:52:20,372 DEBUG Training subset = ['sex' 'cp' 'chol'], Timing = 0.008003711700439453, Size (Kb) = 0.0546875
2019-09-03 12:52:20,372 DEBUG Training subset = ['sex' 'cp' 'chol'], Timing = 0.008003711700439453, Size (Kb) = 0.0546875
2019-09-03 12:52:20,381 DEBUG Training subset = ['sex' 'cp' 'fbs'], Timing = 0.008978605270385742, Size (Kb) = 0.0546875
2019-09-03 12:52:20,381 DEBUG Training subset = ['sex' 'cp' 'fbs'], Timing = 0.008978605270385742, Size (Kb) = 0.0546875
2019-09-03 12:52:20,389 DEBUG Training subset = ['sex' 'cp' 'restecg'], Timing = 0.007004261016845703, Size (Kb) = 0.0546875
2019-09-03 12:52:20,389 DEBUG Training subset = ['sex' 'cp' 'restecg'], Timing = 0.007004261016845703, Size (Kb) = 0.0546875
2019-09-03 12:52:20,399 DEBUG Training subset = ['sex' 'cp' 'thalach'], Timing = 0.008006095886230469, Size (Kb) = 0.0546875
2019-09-03 12:52:20,399 DEBUG Training subset = ['sex' 'cp' 'thalach'], Timing = 0.008006095886230469, Size (Kb) = 0.0546875
2019-09-03 12:52:20,406 DEBUG Training subset = ['sex' 'cp' 'exang'], Timing = 0.007006168365478516, Size (Kb) = 0.0546875
2019-09-03 12:52:20,406 DEBUG Training subset = ['sex' 'cp' 'exang'], Timing = 0.007006168365478516, Size (Kb) = 0.0546875
2019-09-03 12:52:20,416 DEBUG Training subset = ['sex' 'cp' 'oldpeak'], Timing = 0.008004903793334961, Size (Kb) = 0.0546875
2019-09-03 12:52:20,416 DEBUG Training subset = ['sex' 'cp' 'oldpeak'], Timing = 0.008004903793334961, Size (Kb) = 0.0546875
2019-09-03 12:52:20,423 DEBUG Training subset = ['sex' 'cp' 'slope'], Timing = 0.007006406784057617, Size (Kb) = 0.0546875
2019-09-03 12:52:20,423 DEBUG Training subset = ['sex' 'cp' 'slope'], Timing = 0.007006406784057617, Size (Kb) = 0.0546875
2019-09-03 12:52:20,431 DEBUG Training subset = ['sex' 'cp' 'ca'], Timing = 0.007004261016845703, Size (Kb) = 0.0546875
2019-09-03 12:52:20,431 DEBUG Training subset = ['sex' 'cp' 'ca'], Timing = 0.007004261016845703, Size (Kb) = 0.0546875
2019-09-03 12:52:20,444 DEBUG Training subset = ['sex' 'cp' 'thal'], Timing = 0.011008024215698242, Size (Kb) = 0.0546875
2019-09-03 12:52:20,444 DEBUG Training subset = ['sex' 'cp' 'thal'], Timing = 0.011008024215698242, Size (Kb) = 0.0546875
2019-09-03 12:52:20,463 DEBUG Training subset = ['sex' 'trestbps' 'chol'], Timing = 0.014006853103637695, Size (Kb) = 0.0546875
2019-09-03 12:52:20,463 DEBUG Training subset = ['sex' 'trestbps' 'chol'], Timing = 0.014006853103637695, Size (Kb) = 0.0546875
2019-09-03 12:52:20,480 DEBUG Training subset = ['sex' 'trestbps' 'fbs'], Timing = 0.01501154899597168, Size (Kb) = 0.0546875
2019-09-03 12:52:20,480 DEBUG Training subset = ['sex' 'trestbps' 'fbs'], Timing = 0.01501154899597168, Size (Kb) = 0.0546875
2019-09-03 12:52:20,488 DEBUG Training subset = ['sex' 'trestbps' 'restecg'], Timing = 0.008006572723388672, Size (Kb) = 0.0546875
2019-09-03 12:52:20,488 DEBUG Training subset = ['sex' 'trestbps' 'restecg'], Timing = 0.008006572723388672, Size (Kb) = 0.0546875
2019-09-03 12:52:20,501 DEBUG Training subset = ['sex' 'trestbps' 'thalach'], Timing = 0.012004613876342773, Size (Kb) = 0.0546875
2019-09-03 12:52:20,501 DEBUG Training subset = ['sex' 'trestbps' 'thalach'], Timing = 0.012004613876342773, Size (Kb) = 0.0546875
2019-09-03 12:52:20,513 DEBUG Training subset = ['sex' 'trestbps' 'exang'], Timing = 0.010001182556152344, Size (Kb) = 0.0546875
2019-09-03 12:52:20,513 DEBUG Training subset = ['sex' 'trestbps' 'exang'], Timing = 0.010001182556152344, Size (Kb) = 0.0546875
2019-09-03 12:52:20,524 DEBUG Training subset = ['sex' 'trestbps' 'oldpeak'], Timing = 0.011008262634277344, Size (Kb) = 0.0546875
2019-09-03 12:52:20,524 DEBUG Training subset = ['sex' 'trestbps' 'oldpeak'], Timing = 0.011008262634277344, Size (Kb) = 0.0546875
2019-09-03 12:52:20,538 DEBUG Training subset = ['sex' 'trestbps' 'slope'], Timing = 0.013009786605834961, Size (Kb) = 0.0546875
2019-09-03 12:52:20,538 DEBUG Training subset = ['sex' 'trestbps' 'slope'], Timing = 0.013009786605834961, Size (Kb) = 0.0546875
2019-09-03 12:52:20,550 DEBUG Training subset = ['sex' 'trestbps' 'ca'], Timing = 0.011007308959960938, Size (Kb) = 0.0546875
2019-09-03 12:52:20,550 DEBUG Training subset = ['sex' 'trestbps' 'ca'], Timing = 0.011007308959960938, Size (Kb) = 0.0546875
2019-09-03 12:52:20,561 DEBUG Training subset = ['sex' 'trestbps' 'thal'], Timing = 0.009012460708618164, Size (Kb) = 0.0546875
2019-09-03 12:52:20,561 DEBUG Training subset = ['sex' 'trestbps' 'thal'], Timing = 0.009012460708618164, Size (Kb) = 0.0546875
2019-09-03 12:52:20,572 DEBUG Training subset = ['sex' 'chol' 'fbs'], Timing = 0.011014223098754883, Size (Kb) = 0.0546875
2019-09-03 12:52:20,572 DEBUG Training subset = ['sex' 'chol' 'fbs'], Timing = 0.011014223098754883, Size (Kb) = 0.0546875
2019-09-03 12:52:20,584 DEBUG Training subset = ['sex' 'chol' 'restecg'], Timing = 0.011004924774169922, Size (Kb) = 0.0546875
2019-09-03 12:52:20,584 DEBUG Training subset = ['sex' 'chol' 'restecg'], Timing = 0.011004924774169922, Size (Kb) = 0.0546875
2019-09-03 12:52:20,596 DEBUG Training subset = ['sex' 'chol' 'thalach'], Timing = 0.011001110076904297, Size (Kb) = 0.0546875
2019-09-03 12:52:20,596 DEBUG Training subset = ['sex' 'chol' 'thalach'], Timing = 0.011001110076904297, Size (Kb) = 0.0546875
2019-09-03 12:52:20,606 DEBUG Training subset = ['sex' 'chol' 'exang'], Timing = 0.00900578498840332, Size (Kb) = 0.0546875
2019-09-03 12:52:20,606 DEBUG Training subset = ['sex' 'chol' 'exang'], Timing = 0.00900578498840332, Size (Kb) = 0.0546875
2019-09-03 12:52:20,617 DEBUG Training subset = ['sex' 'chol' 'oldpeak'], Timing = 0.010012626647949219, Size (Kb) = 0.0546875
2019-09-03 12:52:20,617 DEBUG Training subset = ['sex' 'chol' 'oldpeak'], Timing = 0.010012626647949219, Size (Kb) = 0.0546875
2019-09-03 12:52:20,629 DEBUG Training subset = ['sex' 'chol' 'slope'], Timing = 0.010001182556152344, Size (Kb) = 0.0546875
2019-09-03 12:52:20,629 DEBUG Training subset = ['sex' 'chol' 'slope'], Timing = 0.010001182556152344, Size (Kb) = 0.0546875
2019-09-03 12:52:20,638 DEBUG Training subset = ['sex' 'chol' 'ca'], Timing = 0.009006023406982422, Size (Kb) = 0.0546875
2019-09-03 12:52:20,638 DEBUG Training subset = ['sex' 'chol' 'ca'], Timing = 0.009006023406982422, Size (Kb) = 0.0546875
2019-09-03 12:52:20,650 DEBUG Training subset = ['sex' 'chol' 'thal'], Timing = 0.010016202926635742, Size (Kb) = 0.0546875
2019-09-03 12:52:20,650 DEBUG Training subset = ['sex' 'chol' 'thal'], Timing = 0.010016202926635742, Size (Kb) = 0.0546875
2019-09-03 12:52:20,658 DEBUG Training subset = ['sex' 'fbs' 'restecg'], Timing = 0.007004976272583008, Size (Kb) = 0.0546875
2019-09-03 12:52:20,658 DEBUG Training subset = ['sex' 'fbs' 'restecg'], Timing = 0.007004976272583008, Size (Kb) = 0.0546875
2019-09-03 12:52:20,667 DEBUG Training subset = ['sex' 'fbs' 'thalach'], Timing = 0.008999347686767578, Size (Kb) = 0.0546875
2019-09-03 12:52:20,667 DEBUG Training subset = ['sex' 'fbs' 'thalach'], Timing = 0.008999347686767578, Size (Kb) = 0.0546875
2019-09-03 12:52:20,676 DEBUG Training subset = ['sex' 'fbs' 'exang'], Timing = 0.009012460708618164, Size (Kb) = 0.0546875
2019-09-03 12:52:20,676 DEBUG Training subset = ['sex' 'fbs' 'exang'], Timing = 0.009012460708618164, Size (Kb) = 0.0546875
2019-09-03 12:52:20,686 DEBUG Training subset = ['sex' 'fbs' 'oldpeak'], Timing = 0.009002447128295898, Size (Kb) = 0.0546875
2019-09-03 12:52:20,686 DEBUG Training subset = ['sex' 'fbs' 'oldpeak'], Timing = 0.009002447128295898, Size (Kb) = 0.0546875
2019-09-03 12:52:20,696 DEBUG Training subset = ['sex' 'fbs' 'slope'], Timing = 0.008033990859985352, Size (Kb) = 0.0546875
2019-09-03 12:52:20,696 DEBUG Training subset = ['sex' 'fbs' 'slope'], Timing = 0.008033990859985352, Size (Kb) = 0.0546875
2019-09-03 12:52:20,704 DEBUG Training subset = ['sex' 'fbs' 'ca'], Timing = 0.007985830307006836, Size (Kb) = 0.0546875
